Date,Views,Likes
2021-05-06,124797,2704
2021-05-06,44450,1117
2021-05-07,121459,3543
2021-05-07,156038,4809
2021-05-08,109622,2580
2021-05-08,83090,1611
2021-05-09,75617,1815
2021-05-09,108603,2140
2021-05-10,85801,1917
2021-05-10,196747,9512
2021-05-11,48971,1394
2021-05-11,147080,4519
2021-05-12,74128,2217
2021-05-12,144369,8588
2021-05-13,430106,16984
2021-05-13,167234,4986
2021-05-14,137698,5178
2021-05-15,85033,2878
2021-05-15,98767,3173
2021-05-16,102154,2665
2021-05-16,106062,2229
2021-05-16,28002,650
2021-05-17,167132,6421
2021-05-17,169475,7951
2021-05-18,88326,2822
2021-05-18,155115,6005
2021-05-19,88793,3213
2021-05-19,122535,3623
2021-05-20,1403489,24949
2021-05-20,113302,5787
2021-05-21,138831,4003
